file_style_id,file,origin_tool,ifc_schema,style_code,handing,shape,operation_guess,panel_config_guess,classification_confidence,classification_basis,classification_evidence,golden_target_verdict,bakedness_class,parametric_integrity_score,geometry,has_lining_props,has_panel_props,source_style_name,window_count,source,source_url,provenance_note,license_note
F167,ISSUE_068_ARK_NUS_skolebygg.ifc,Autodesk Revit 2019 (ENG),IFC2X3,UNCLASSIFIED,-,RECT,UNKNOWN,SINGLE,low,none,name='vindu 3 felt:v6 24x22:5446097 ' part=NOTDEFINED panel_ops=-,needs_style_review,SEMI_PARAMETRIC,72,parametric_swept,True,False,V6 24x22,11,downloaded,https://github.com/ThatOpen/engine_web-ifc,Autodesk Revit 2019 (ENG); open test fixture,open fixture; verify per-file author/license
F168,ISSUE_068_ARK_NUS_skolebygg.ifc,Autodesk Revit 2019 (ENG),IFC2X3,UNCLASSIFIED,-,RECT,UNKNOWN,SINGLE,low,none,name='vindu 3 felt:v7 24x22:5446726 ' part=NOTDEFINED panel_ops=-,needs_style_review,SEMI_PARAMETRIC,72,parametric_swept,True,False,V7 24x22,6,downloaded,https://github.com/ThatOpen/engine_web-ifc,Autodesk Revit 2019 (ENG); open test fixture,open fixture; verify per-file author/license
F169,ISSUE_068_ARK_NUS_skolebygg.ifc,Autodesk Revit 2019 (ENG),IFC2X3,UNCLASSIFIED,-,RECT,UNKNOWN,SINGLE,low,none,name='vindu 3 felt:v10 30x22:5447393' part=NOTDEFINED panel_ops=-,needs_style_review,SEMI_PARAMETRIC,72,parametric_swept,True,False,V10 30x22,4,downloaded,https://github.com/ThatOpen/engine_web-ifc,Autodesk Revit 2019 (ENG); open test fixture,open fixture; verify per-file author/license
F170,ISSUE_068_ARK_NUS_skolebygg.ifc,Autodesk Revit 2019 (ENG),IFC2X3,UNCLASSIFIED,-,RECT,UNKNOWN,SINGLE,low,none,name='vindu 3 felt:v6 24x22:5449631 ' part=NOTDEFINED panel_ops=-,needs_style_review,SEMI_PARAMETRIC,72,parametric_swept,True,False,V6 24x22,1,downloaded,https://github.com/ThatOpen/engine_web-ifc,Autodesk Revit 2019 (ENG); open test fixture,open fixture; verify per-file author/license
F171,ISSUE_068_ARK_NUS_skolebygg.ifc,Autodesk Revit 2019 (ENG),IFC2X3,UNCLASSIFIED,-,RECT,UNKNOWN,SINGLE,low,none,name='vindu 3 felt:v12 35x22:5463949' part=NOTDEFINED panel_ops=-,needs_style_review,SEMI_PARAMETRIC,72,parametric_swept,True,False,V12 35x22,4,downloaded,https://github.com/ThatOpen/engine_web-ifc,Autodesk Revit 2019 (ENG); open test fixture,open fixture; verify per-file author/license
F172,ISSUE_068_ARK_NUS_skolebygg.ifc,Autodesk Revit 2019 (ENG),IFC2X3,UNCLASSIFIED,-,RECT,UNKNOWN,SINGLE,low,none,name='vindu 3 felt:v11 35x22:5464245' part=NOTDEFINED panel_ops=-,needs_style_review,SEMI_PARAMETRIC,72,parametric_swept,True,False,V11 35x22,7,downloaded,https://github.com/ThatOpen/engine_web-ifc,Autodesk Revit 2019 (ENG); open test fixture,open fixture; verify per-file author/license
F173,ISSUE_068_ARK_NUS_skolebygg.ifc,Autodesk Revit 2019 (ENG),IFC2X3,UNCLASSIFIED,-,RECT,UNKNOWN,SINGLE,low,none,name='vindu 3 felt:v12 35x22:5464550' part=NOTDEFINED panel_ops=-,needs_style_review,SEMI_PARAMETRIC,72,parametric_swept,True,False,V12 35x22,3,downloaded,https://github.com/ThatOpen/engine_web-ifc,Autodesk Revit 2019 (ENG); open test fixture,open fixture; verify per-file author/license
F174,ISSUE_068_ARK_NUS_skolebygg.ifc,Autodesk Revit 2019 (ENG),IFC2X3,UNCLASSIFIED,-,RECT,UNKNOWN,SINGLE,low,none,name='vindu 3 felt:v6 24x22:5472792 ' part=NOTDEFINED panel_ops=-,needs_style_review,SEMI_PARAMETRIC,72,parametric_swept,True,False,V6 24x22,1,downloaded,https://github.com/ThatOpen/engine_web-ifc,Autodesk Revit 2019 (ENG); open test fixture,open fixture; verify per-file author/license
F175,ISSUE_068_ARK_NUS_skolebygg.ifc,Autodesk Revit 2019 (ENG),IFC2X3,UNCLASSIFIED,-,RECT,UNKNOWN,SINGLE,low,none,name='vindu-fast:gf 14.2 12x21 33db ' part=NOTDEFINED panel_ops=-,needs_style_review,SEMI_PARAMETRIC,72,parametric_swept,True,False,GF 14.2 12x21 33dB E30,2,downloaded,https://github.com/ThatOpen/engine_web-ifc,Autodesk Revit 2019 (ENG); open test fixture,open fixture; verify per-file author/license
F176,ISSUE_098_R8_F1_MAB_AR_M3_XX_XXX_MO_7000.ifc,Autodesk Revit 2022 (ENG),IFC2X3,UNCLASSIFIED,-,RECT,UNKNOWN,SINGLE,low,none,name='0ar_fin_fi000 - 1a:0ar_fin_fi0' part=SINGLE_PANEL panel_ops=-,needs_style_review,SEMI_PARAMETRIC,77,parametric_swept,True,False,0AR_FIN_FI000 - 1A:0AR_FIN_FI002 - 80x140 cm,68,downloaded,https://github.com/ThatOpen/engine_web-ifc,Autodesk Revit 2022 (ENG); open test fixture,open fixture; verify per-file author/license
